Date,Open,High,Low,Close,Adj Close,Volume
2023-03-28,38.779999,40.490002,38.520000,38.840000,38.577599,406700
2023-03-29,39.299999,40.849998,38.700001,40.209999,39.938339,446200
2023-03-30,41.200001,42.599998,40.730000,41.709999,41.521141,495200
2023-03-31,41.910000,42.520000,41.430000,41.959999,41.770012,427700
2023-04-03,43.259998,45.619999,42.709999,43.270000,43.074078,758300
2023-04-04,43.320000,43.599998,40.400002,41.040001,40.854179,544200
2023-04-05,40.799999,41.209999,39.369999,40.220001,40.037891,304100
2023-04-06,40.099998,40.439999,39.349998,40.000000,39.818886,461200
2023-04-10,39.849998,41.259998,39.750000,40.709999,40.525669,364200
2023-04-11,41.000000,42.639999,41.000000,41.750000,41.560959,553700
2023-04-12,42.230000,42.700001,41.770000,42.070000,41.879513,322600
2023-04-13,42.349998,43.639999,41.799999,43.430000,43.233356,517300
2023-04-14,43.400002,44.000000,42.299999,42.840000,42.646027,244300
2023-04-17,42.990002,43.580002,42.610001,43.430000,43.233356,325700
2023-04-18,43.720001,44.959999,43.610001,44.500000,44.298512,269300
2023-04-19,44.459999,44.720001,43.650002,44.580002,44.378147,231100
2023-04-20,44.590000,46.490002,44.590000,46.389999,46.179951,445500
2023-04-21,46.439999,46.790001,45.630001,46.299999,46.090359,282100
2023-04-24,46.689999,47.630001,44.950001,45.630001,45.423393,568700
2023-04-25,45.189999,45.660000,43.759998,44.669998,44.467739,385900
2023-04-26,44.590000,44.810001,41.580002,41.959999,41.770012,463300
2023-04-27,41.700001,42.529999,41.099998,42.110001,41.919331,388200
2023-04-28,42.000000,44.459999,41.919998,43.849998,43.651451,305700
2023-05-01,44.189999,45.240002,44.160000,44.919998,44.716606,327300
2023-05-02,44.830002,45.029999,43.119999,44.150002,43.950096,337500
2023-05-03,44.529999,45.000000,43.930000,44.180000,43.979961,304800
2023-05-04,48.150002,48.500000,40.709999,42.119999,41.929287,856400
2023-05-05,43.860001,46.349998,43.730000,45.869999,45.662304,636600
2023-05-08,46.810001,47.410000,45.310001,46.509998,46.299408,461000
2023-05-09,46.599998,47.630001,45.549999,46.119999,45.911175,426400
2023-05-10,47.049999,47.049999,45.779999,46.500000,46.289455,292200
2023-05-11,46.189999,46.540001,46.060001,46.459999,46.249634,431100
2023-05-12,46.700001,47.799999,46.020000,46.570000,46.359135,417400
2023-05-15,46.799999,49.060001,46.730000,48.360001,48.141033,577300
2023-05-16,48.000000,48.500000,46.650002,46.759998,46.548275,325800
2023-05-17,43.490002,45.080002,42.750000,43.650002,43.452358,1920400
2023-05-18,43.650002,45.220001,42.799999,43.599998,43.402584,1006900
2023-05-19,43.919998,45.930000,43.509998,43.970001,43.770908,1077200
2023-05-22,44.160000,46.060001,43.630001,45.820000,45.612534,790900
2023-05-23,45.730000,45.820000,42.380001,43.020000,42.825214,678000
2023-05-24,42.599998,42.650002,39.150002,40.990002,40.804405,934000
2023-05-25,41.340000,41.730000,39.799999,40.450001,40.266850,407400
2023-05-26,40.439999,40.900002,40.020000,40.139999,39.958252,528400
2023-05-30,40.099998,40.380001,38.599998,39.619999,39.440605,527200
2023-05-31,38.950001,39.509998,37.439999,38.200001,38.027039,575400
2023-06-01,37.840000,39.730000,37.599998,39.009998,38.833366,381900
2023-06-02,39.799999,41.160000,39.500000,40.750000,40.565491,485200
2023-06-05,40.509998,41.099998,39.910000,40.869999,40.684944,231700
2023-06-06,40.759998,42.060001,40.209999,41.880001,41.690372,406400
2023-06-07,42.060001,43.880001,42.060001,43.020000,42.825214,363600
2023-06-08,42.990002,43.500000,42.770000,43.139999,42.944664,200800
2023-06-09,43.389999,43.570000,42.820000,43.189999,42.994438,311000
2023-06-12,43.689999,44.570000,42.759998,44.220001,44.019779,425700
2023-06-13,44.400002,45.020000,44.250000,44.639999,44.437874,339000
2023-06-14,44.849998,45.299999,43.660000,44.529999,44.328373,362400
2023-06-15,46.250000,48.480000,45.939999,48.470001,48.250534,795000
2023-06-16,49.020000,49.250000,47.110001,47.560001,47.344658,501600
2023-06-20,47.610001,49.570000,47.500000,49.090000,48.867725,556700
2023-06-21,48.980000,49.720001,48.310001,49.090000,48.867725,420300
2023-06-22,48.830002,49.160000,47.900002,48.389999,48.170895,499000
2023-06-23,47.759998,49.060001,47.139999,48.279999,48.061394,309200
2023-06-26,48.200001,49.330002,48.200001,48.570000,48.350082,411700
2023-06-27,48.700001,51.180000,48.549999,50.810001,50.579941,1025000
2023-06-28,51.119999,51.980000,50.810001,51.009998,50.779030,495000
2023-06-29,51.500000,52.490002,51.200001,51.740002,51.596764,371400
2023-06-30,52.000000,53.349998,51.430000,51.660000,51.516983,694600
2023-07-03,51.779999,52.590000,51.560001,52.169998,52.025570,168400
2023-07-05,52.169998,52.230000,50.049999,50.250000,50.110889,467600
2023-07-06,49.759998,49.759998,47.259998,49.209999,49.073765,712500
2023-07-07,49.500000,51.110001,49.439999,50.869999,50.729172,350300
2023-07-10,50.939999,52.930000,50.610001,52.410000,52.264908,499900
2023-07-11,52.450001,53.139999,51.520000,51.840000,51.696487,330200
2023-07-12,52.439999,53.680000,52.009998,52.849998,52.703690,455700
2023-07-13,53.310001,54.000000,52.660000,53.590000,53.441643,279500
2023-07-14,53.610001,53.660000,52.759998,53.290001,53.142471,209700
2023-07-17,53.000000,54.139999,51.700001,53.880001,53.730839,283300
2023-07-18,53.779999,54.400002,53.380001,53.439999,53.292057,228500
2023-07-19,53.400002,53.509998,48.820000,49.110001,48.974045,858100
2023-07-20,49.000000,49.070000,46.830002,47.430000,47.298695,568400
2023-07-21,48.000000,48.680000,47.650002,47.650002,47.518089,357200
2023-07-24,47.650002,48.860001,46.599998,47.520000,47.388447,346400
2023-07-25,47.500000,48.500000,47.299999,47.730000,47.597862,190500
2023-07-26,47.470001,47.810001,46.369999,47.070000,46.939690,297300
2023-07-27,47.290001,47.290001,44.459999,44.860001,44.735809,689000
2023-07-28,45.250000,46.310001,45.029999,46.220001,46.092045,330100
2023-07-31,46.150002,47.820000,46.009998,47.080002,46.949665,325100
2023-08-01,46.889999,48.250000,46.590000,47.730000,47.597862,242500
2023-08-02,47.130001,47.389999,46.299999,46.930000,46.800079,324400
2023-08-03,46.610001,46.740002,45.669998,46.000000,45.872654,303700
2023-08-04,46.540001,47.330002,45.349998,46.400002,46.271549,479800
2023-08-07,46.570000,47.220001,45.450001,45.950001,45.822792,485700
2023-08-08,44.009998,44.110001,39.000000,39.820000,39.709763,1570000
2023-08-09,40.509998,40.509998,38.070000,38.189999,38.084274,1170000
2023-08-10,38.299999,38.299999,35.709999,36.700001,36.598400,1244500
2023-08-11,36.400002,36.889999,35.799999,36.160000,36.059895,700000
2023-08-14,35.590000,35.849998,34.430000,35.759998,35.660999,807900
2023-08-15,35.570000,36.029999,35.080002,35.270000,35.172359,396200
2023-08-16,35.820000,35.880001,34.540001,34.599998,34.504211,521900
2023-08-17,34.570000,34.700001,32.709999,32.849998,32.759056,669200
2023-08-18,32.459999,34.810001,32.369999,34.369999,34.274849,730700
2023-08-21,34.410000,34.770000,33.560001,33.869999,33.776234,523100
2023-08-22,34.279999,34.669998,33.160000,33.400002,33.307537,405100
2023-08-23,33.669998,35.119999,33.310001,34.880001,34.783440,471300
2023-08-24,34.689999,35.220001,34.040001,34.060001,33.965710,353900
2023-08-25,34.200001,34.509998,33.130001,33.860001,33.766262,372600
2023-08-28,34.500000,35.910000,34.459999,35.330002,35.232193,517200
2023-08-29,35.320000,37.240002,35.169998,37.029999,36.927486,815500
2023-08-30,37.240002,38.270000,37.240002,37.650002,37.545773,532000
2023-08-31,38.380001,39.599998,37.990002,38.970001,38.862118,814000
2023-09-01,39.070000,40.000000,39.070000,39.689999,39.580120,501500
2023-09-05,39.400002,39.400002,36.040001,37.750000,37.645493,715100
2023-09-06,37.680000,38.430000,36.049999,36.320000,36.219452,437300
2023-09-07,36.000000,36.660000,35.230000,36.650002,36.548538,475300
2023-09-08,36.340000,36.730000,36.040001,36.360001,36.259342,257500
2023-09-11,36.520000,37.000000,36.000000,36.009998,35.910309,379700
2023-09-12,36.000000,36.349998,35.560001,35.759998,35.660999,306400
2023-09-13,35.790001,35.790001,34.259998,35.660000,35.561279,481000
